pavardė1; vardas1; adresas1;1;22;28;
pavardė1; vardas1; adresas1;5;22;20;
pavardė1; vardas1; adresas1;1;32;100;
pavardė1; vardas1; adresas1;2;32;97;
pavardė1; vardas1; adresas1;3;32;63;
pavardė1; vardas1; adresas1;2;22;25;
pavardė1; vardas1; adresas1;3;22;29;
pavardėAA; vardasAA; adresasAA;1;21;13;
pavardėAA; vardasAA; adresasAA;2;21;84;
pavardėAA; vardasAA; adresasAA;3;21;76;
pavardė1; vardas1; adresas1;4;22;39;
pavardė2; vardas2; adresas2;3;31;67;
pavardė2; vardas2; adresas2;4;31;98;
pavardė0; vardas2; adresas2;5;31;125;
pavardė0; vardas0; adresas3;1;11;31;
pavardė1; vardas1; adresas1;4;32;39;
pavardė1; vardas1; adresas1;5;32;20;
pavardė1; vardas1; adresas1;3;11;80;
pavardė1; vardas1; adresas1;4;11;39;
pavardė1; vardas1; adresas1;1;11;120;
pavardė1; vardas1; adresas1;2;11;100;
pavardė1; vardas1; adresas1;5;11;139;
pavardė2; vardas2; adresas2;1;31;31;
pavardė2; vardas2; adresas2;2;31;48;
pavardė0; vardas0; adresas3;2;11;48;
pavardė0; vardas0; adresas3;3;11;67;
pavardė0; vardas0; adresas3;4;11;98;
pavardė0; vardas0; adresas3;5;11;125;
pavardėAA; vardasAA; adresasAA;4;21;8;
pavardėAA; vardasAA; adresasAA;5;21;25;
